"LineNumber","Line","Pattern"
"538","        <div className=""flex flex-col min-h-screen bg-slate-50 relative pb-32"">","<div|</div"
"540","            <div>","<div|</div"
"547","            </div>","<div|</div"
"549","            <div className=""flex flex-wrap items-center gap-2"">","<div|</div"
"578","                      <div className=""space-y-4 py-4 pb-12"">","<div|</div"
"579","                        <div className=""grid grid-cols-2 gap-4"">","<div|</div"
"580","                          <div className=""space-y-1"">","<div|</div"
"588","                          </div>","<div|</div"
"589","                          <div className=""space-y-1"">","<div|</div"
"609","                          </div>","<div|</div"
"610","                        </div>","<div|</div"
"612","                        <div className=""space-y-1"">","<div|</div"
"625","                        </div>","<div|</div"
"627","                        <div className=""space-y-1"">","<div|</div"
"635","                        </div>","<div|</div"
"637","                        <div className=""space-y-1"">","<div|</div"
"639","                          <div className=""border border-border rounded-2xl p-4 bg-slate-50 shadow-inner"">","<div|</div"
"646","                          </div>","<div|</div"
"647","                        </div>","<div|</div"
"649","                        <div className=""space-y-1"">","<div|</div"
"651","                          <div className=""flex items-center gap-2"">","<div|</div"
"663","                          </div>","<div|</div"
"665","                            <div className=""mt-4 space-y-2"">","<div|</div"
"667","                              <div className=""w-full aspect-video bg-slate-100 rounded-2xl overflow-hidden border-2 border-dashed border-slate-200 flex items-center justify-center"">","<div|</div"
"673","                              </div>","<div|</div"
"674","                            </div>","<div|</div"
"676","                        </div>","<div|</div"
"677","                      </div>","<div|</div"
"712","                      <div className=""space-y-4 py-4 px-0 sm:px-2"">","<div|</div"
"714","                          <div className=""space-y-1 relative"">","<div|</div"
"716","                            <div className=""relative"">","<div|</div"
"731","                                <div className=""absolute top-full left-0 w-full mt-1 bg-white border border-slate-200 rounded-xl shadow-2xl z-[50] max-h-60 overflow-y-auto"">","<div|</div"
"733","                                    <div className=""py-4 text-center text-slate-500 text-sm"">","<div|</div"
"736","                                    </div>","<div|</div"
"738","                                    <div className=""p-2 space-y-1"">","<div|</div"
"754","                                          <div className=""font-bold"">{u.name}</div>","<div|</div"
"755","                                          <div className={cn(""text-xs"", selectedUserId === u.id ? ""text-white/80"" : ""text-slate-400"")}>","<div|</div"
"757","                                          </div>","<div|</div"
"760","                                    </div>","<div|</div"
"762","                                    <div className=""py-6 px-4 text-center"">","<div|</div"
"766","                                    </div>","<div|</div"
"768","                                </div>","<div|</div"
"770","                            </div>","<div|</div"
"774","                              <div className=""mt-2 p-3 bg-emerald-50 border border-emerald-100 rounded-xl flex items-center justify-between animate-in fade-in slide-in-from-top-1"">","<div|</div"
"775","                                <div className=""text-xs text-emerald-700 font-medium"">","<div|</div"
"777","                                </div>","<div|</div"
"785","                              </div>","<div|</div"
"787","                          </div>","<div|</div"
"789","                        <div className=""grid grid-cols-2 gap-4"">","<div|</div"
"790","                          <div className=""space-y-1"">","<div|</div"
"798","                          </div>","<div|</div"
"799","                          <div className=""space-y-1"">","<div|</div"
"819","                          </div>","<div|</div"
"820","                        </div>","<div|</div"
"822","                        <div className=""space-y-1"">","<div|</div"
"835","                        </div>","<div|</div"
"837","                        <div className=""space-y-1"">","<div|</div"
"845","                        </div>","<div|</div"
"846","                      </div>","<div|</div"
"881","                      <div className=""space-y-4 py-4 pb-10"">","<div|</div"
"882","                        <div className=""grid grid-cols-2 gap-4"">","<div|</div"
"883","                          <div className=""space-y-1"">","<div|</div"
"891","                          </div>","<div|</div"
"892","                          <div className=""space-y-1"">","<div|</div"
"903","                          </div>","<div|</div"
"904","                        </div>","<div|</div"
"906","                        <div className=""space-y-1"">","<div|</div"
"920","                        </div>","<div|</div"
"922","                        <div className=""space-y-1"">","<div|</div"
"930","                        </div>","<div|</div"
"931","                      </div>","<div|</div"
"949","            </div>","<div|</div"
"952","          <div className=""flex-1 overscroll-contain"">","<div|</div"
"953","            <div className=""p-4 lg:p-8 space-y-6"">","<div|</div"
"958","                  <div className=""grid gap-4 md:grid-cols-3"">","<div|</div"
"964","                        <div className=""text-3xl font-bold"">Rp {treasuryTotals.balance.toLocaleString('id-ID')}</div>","<div|</div"
"973","                        <div className=""text-3xl font-bold text-emerald-600"">Rp {treasuryTotals.income.toLocaleString('id-ID')}</div>","<div|</div"
"982","                        <div className=""text-3xl font-bold text-rose-600"">Rp {treasuryTotals.expense.toLocaleString('id-ID')}</div>","<div|</div"
"986","                  </div>","<div|</div"
"993","                          <div className=""flex items-center gap-2"">","<div|</div"
"996","                          </div>","<div|</div"
"1014","                        <div className=""space-y-4"">","<div|</div"
"1016","                            <div className=""rounded-md border border-orange-200 overflow-hidden bg-white"">","<div|</div"
"1033","                                        <div className=""font-medium"">{item.userName}</div>","<div|</div"
"1034","                                        <div className=""text-xs text-muted-foreground"">{item.userEmail}</div>","<div|</div"
"1048","                                        <div className=""flex justify-end gap-2"">","<div|</div"
"1064","                                        </div>","<div|</div"
"1070","                            </div>","<div|</div"
"1072","                            <div className=""text-center py-6 text-muted-foreground"">","<div|</div"
"1074","                            </div>","<div|</div"
"1076","                        </div>","<div|</div"
"1086","                      <div className=""space-y-6"">","<div|</div"
"1092","                              <div key={year} className=""space-y-4"">","<div|</div"
"1093","                                <div className=""bg-muted/50 px-4 py-3 rounded font-bold text-lg"">","<div|</div"
"1095","                                </div>","<div|</div"
"1100","                                    <div key={monthNum} className=""space-y-3 ml-4"">","<div|</div"
"1101","                                      <div className=""bg-muted/30 px-4 py-2 rounded font-semibold"">","<div|</div"
"1105","                                      </div>","<div|</div"
"1110","                                          <div key={day} className=""ml-4"">","<div|</div"
"1111","                                            <div className=""text-sm font-medium text-muted-foreground mb-2 pb-2 border-b"">","<div|</div"
"1113","                                            </div>","<div|</div"
"1114","                                            <div className=""rounded border border-border overflow-hidden"">","<div|</div"
"1158","                                            </div>","<div|</div"
"1159","                                          </div>","<div|</div"
"1161","                                    </div>","<div|</div"
"1163","                              </div>","<div|</div"
"1166","                          <div className=""text-center py-8 text-muted-foreground"">","<div|</div"
"1168","                          </div>","<div|</div"
"1170","                      </div>","<div|</div"
"1194","                      <div className=""rounded-md border border-border overflow-hidden"">","<div|</div"
"1280","                      </div>","<div|</div"
"1303","                      <div className=""rounded-md border border-border overflow-hidden"">","<div|</div"
"1351","                      </div>","<div|</div"
"1357","                  <div className=""grid gap-4 md:grid-cols-3"">","<div|</div"
"1363","                        <div className=""text-3xl font-bold"">Rp {treasuryTotals.income.toLocaleString('id-ID')}</div>","<div|</div"
"1372","                        <div className=""text-3xl font-bold text-yellow-600 currency"">Rp {treasuryTotals.pendingIncome.toLocaleString('id-ID')}</div>","<div|</div"
"1381","                        <div className=""text-3xl font-bold currency"">Rp {(treasuryTotals.income + treasuryTotals.pendingIncome).toLocaleString('id-ID')}</div>","<div|</div"
"1385","                  </div>","<div|</div"
"1392","                      <div className=""rounded-md border border-border overflow-hidden"">","<div|</div"
"1470","                      </div>","<div|</div"
"1478","                <div className=""fixed inset-0 bg-black/80 z-50 flex items-center justify-center p-4"">","<div|</div"
"1479","                  <div className=""bg-background rounded-lg max-w-2xl w-full max-h-[90vh] overflow-y-auto relative"">","<div|</div"
"1486","                    <div className=""p-6"">","<div|</div"
"1493","                    </div>","<div|</div"
"1494","                  </div>","<div|</div"
"1495","                </div>","<div|</div"
"1506","                  <div className=""space-y-4 py-4 pb-6"">","<div|</div"
"1507","                    <div className=""flex items-center gap-2"">","<div|</div"
"1524","                    </div>","<div|</div"
"1526","                      <div className=""space-y-2"">","<div|</div"
"1528","                        <div className=""w-full aspect-video bg-slate-100 rounded-2xl overflow-hidden border-2 border-dashed border-slate-200 flex items-center justify-center"">","<div|</div"
"1534","                        </div>","<div|</div"
"1535","                      </div>","<div|</div"
"1537","                  </div>","<div|</div"
"1567","              <div className=""h-40 w-full shrink-0"" />","<div|</div"
"1568","            </div>","<div|</div"
"1569","          </div>","<div|</div"
